time,absorbance
0.327868852,0.050206897
0.524590164,0.046896552
0.655737705,0.042640394
0.918032787,0.040748768
1.180327869,0.039330049
1.31147541,0.037123153
1.508196721,0.035152709
1.704918033,0.033497537
1.836065574,0.031921182
2.098360656,0.029871921
2.295081967,0.027901478
2.491803279,0.026009852
2.62295082,0.024197044
3.016393443,0.022147783
3.278688525,0.020729064
3.409836066,0.019152709
3.868852459,0.017655172
4.196721311,0.015842365
4.590163934,0.013714286
4.852459016,0.012216749
5.37704918,0.010167488
5.639344262,0.010640394
5.901639344,0.00937931
6.426229508,0.008118227
6.950819672,0.008433498
7.213114754,0.006857143
7.737704918,0.007487685
8.131147541,0.006384236
8.524590164,0.004492611
9.573770492,0.004334975
10.09836066,0.003704433
11.01639344,0.003073892
11.54098361,0.00417734
11.67213115,0.002758621
11.93442623,0.001339901
12.32786885,0.00244335
12.78688525,0.003231527
13.37704918,0.00244335
14.29508197,0.002128079
15.08196721,0.001339901
16.26229508,0.00244335
17.44262295,0.001182266
18.62295082,0.002128079
19.54098361,0.000394089
