time,absorbance
0.428827781,0.060844179
0.569618906,0.056963309
0.848222202,0.052669073
1.33201881,0.049529821
1.541184064,0.046061466
2.092574598,0.044242884
2.232869231,0.040939931
3.060167815,0.03796438
3.337849052,0.03474342
3.889877934,0.032181801
4.304378356,0.02970331
5.131251374,0.027223117
5.408436119,0.024580074
5.547312202,0.022928314
5.824071381,0.020780628
6.304534396,0.021521679
6.37446893,0.020117882
6.651937385,0.0171446
7.199781543,0.019454
7.476682578,0.017141195
8.027647547,0.015817972
8.441367766,0.014247636
8.99020491,0.015401202
9.266893162,0.013336076
10.50528765,0.011844896
10.91964621,0.009531524
11.33060026,0.011181014
11.88184894,0.009527552
12.4325302,0.008534567
12.77553568,0.009276185
13.3266425,0.007787842
14.08315542,0.007206803
15.1833831,0.006541787
16.14672067,0.005216861
16.76336452,0.007443418
17.38355475,0.005541993
18.62194923,0.004050812
19.9963827,0.004210258
