time,absorbance
0.225691366,0.057294966
0.299101348,0.051845747
0.715020321,0.047716063
1.474795906,0.043337282
1.546858266,0.039456695
1.962493528,0.03565725
2.446857556,0.031857521
2.862138181,0.028470874
3.483392321,0.025331054
3.760577066,0.022688011
4.171743895,0.024089823
4.517799261,0.021281377
4.45119832,0.018804871
5.002730709,0.01682117
5.142457922,0.014178695
5.758818064,0.01673549
5.966919405,0.014505529
6.930824391,0.012520126
7.34511203,0.010289313
7.756137004,0.011856244
8.308662378,0.008716708
8.720183844,0.009705722
9.134826121,0.007062111
9.546631297,0.007720886
10.30505926,0.004910738
11.4028754,0.007052749
11.88567902,0.005069332
12.8493003,0.003414167
13.67220138,0.005557313
14.56723574,0.003737313
15.73661775,0.002576655
17.38681741,0.00174425
17.93593826,0.002567576
18.76139273,0.001738575
19.86062742,0.002229394
