time,absorbance
1.15755627,0.05799591
1.672025723,0.055051125
1.92926045,0.052106339
2.186495177,0.049488753
2.70096463,0.047525562
2.765273312,0.050388548
3.344051447,0.04801636
3.729903537,0.045071575
3.922829582,0.041554192
4.501607717,0.044417178
5.01607717,0.042453988
5.273311897,0.040490798
5.723472669,0.041472393
6.045016077,0.038773006
6.559485531,0.037055215
7.009646302,0.034437628
7.395498392,0.036482618
7.845659164,0.034274029
8.231511254,0.03206544
8.938906752,0.034683027
9.324758842,0.032801636
9.453376206,0.030674847
10.03215434,0.031492843
10.22508039,0.029693252
10.8681672,0.031002045
10.99678457,0.029202454
11.18971061,0.027157464
12.21864952,0.028548057
12.54019293,0.026748466
12.73311897,0.024785276
13.11897106,0.027239264
13.44051447,0.025521472
13.82636656,0.023312883
14.27652733,0.025603272
15.17684887,0.02396728
15.88424437,0.022249489
16.46302251,0.019386503
17.36334405,0.020204499
17.68488746,0.022331288
18.26366559,0.019059305
18.64951768,0.021022495
19.2926045,0.019059305
20.06430868,0.016441718
20.45016077,0.018404908
